fullVisitorId,productSKU,productName,quantity,totalValue,consecutiveWeeksCount,lastWeek
4140559214164857738,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,1,7990000,1,2017-06-13
4140559214164857738,GGOEYOLR018699,YouTube Leatherette Notebook Combo,2,13980000,1,2017-06-13
4184243546859137361,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-07-30
4191654871684266030,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,2,298000000,1,2017-01-01
4242172639873299272,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-03
4278586548289840402,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,1,79000000,1,2017-06-20
428994201200499894,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,70,559300000,1,2016-09-07
428994201200499894,GGOEYFKQ020699,YouTube Custom Decals,70,139300000,1,2016-09-07
428994201200499894,GGOEYOLR018699,YouTube Leatherette Notebook Combo,70,489300000,1,2016-09-07
431995905654252999,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-06-02
4432170800264031771,GGOEGBJC019999,Collapsible Shopping Bag,2,7980000,1,2017-03-30
4432170800264031771,GGOEGDHR082199,Google 25 oz Red Stainless Steel Bottle,2,22380000,1,2017-03-30
4478485114168698618,GGOEGAQB036014,Google Women's Fleece Hoodie,1,44790000,1,2016-10-06
4478485114168698618,GGOEGCGB022199,Fashion Sunglasses & Pouch,1,3600000,1,2016-10-06
4520187872787640137,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,2,158000000,1,2017-06-16
4542569730574642980,GGOEAAAJ032915,Android Men's Long & Lean Badge Tee Charcoal,6,36000000,1,2017-07-29
4542569730574642980,GGOEGAEJ028013,Google Women's Short Sleeve Hero Tee Grey,7,35700000,1,2017-07-29
4542569730574642980,GGOEGAEJ028014,Google Women's Short Sleeve Hero Tee Grey,13,66300000,1,2017-07-29
4544717530086880148,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,4,476000000,1,2017-06-22
4599293151185767579,GGOEGADB059613,Google Men's Quilted Insulated Vest Black,1,59990000,1,2017-01-05
4599293151185767579,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,1,1590000,1,2017-01-05
4609004095369993884,GGOEAKDH019899,Windup Android,3,9570000,1,2016-12-19
